post_id,user_id,text,url,label,cleaned_text,tokens
P00000,U00064,You won a free iPhone! Claim your prize now: https://www.sangoma.com,https://www.sangoma.com,1,you won a free iphone claim your prize now,"['you', 'won', 'a', 'free', 'iphone', 'claim', 'your', 'prize', 'now']"
P00001,U00026,Loving the new update on this app. http://detailed-sudsy-nest.glitch.me/,http://detailed-sudsy-nest.glitch.me/,0,loving the new update on this app,"['loving', 'the', 'new', 'update', 'on', 'this', 'app']"
P00002,U00027,https://www.arena.it Click the link to claim your reward!,https://www.arena.it,1,click the link to claim your reward,"['click', 'the', 'link', 'to', 'claim', 'your', 'reward']"
P00003,U00096,http://www.rrokl.pplink.club,http://www.rrokl.pplink.club,0,,[]
P00004,U00041,Anyone know a good restaurant around here? https://vidarengo.cl/php/sg/tel.php,https://vidarengo.cl/php/sg/tel.php,0,anyone know a good restaurant around here,"['anyone', 'know', 'a', 'good', 'restaurant', 'around', 'here']"
P00005,U00065,Check out this amazing article I found: http://www.higoec.com,http://www.higoec.com,0,check out this amazing article i found,"['check', 'out', 'this', 'amazing', 'article', 'i', 'found']"
P00007,U00091,Just had a great day at the park! http://www.eu.microsoft-365.workers.dev,http://www.eu.microsoft-365.workers.dev,0,just had a great day at the park,"['just', 'had', 'a', 'great', 'day', 'at', 'the', 'park']"
P00009,U00043,Login to your bank account immediately to prevent suspension: https://www.keyauto.com,https://www.keyauto.com,1,login to your bank account immediately to prevent suspension,"['login', 'to', 'your', 'bank', 'account', 'immediately', 'to', 'prevent', 'suspension']"
P00014,U00099,URGENT: Your account has been compromised. Click here to verify: https://www.noteable.net,https://www.noteable.net,1,urgent your account has been compromised click here to verify,"['urgent', 'your', 'account', 'has', 'been', 'compromised', 'click', 'here', 'to', 'verify']"
P00015,U00019,Can't believe it's already Friday. http://www.adx.xwmpn.com,http://www.adx.xwmpn.com,0,cant believe its already friday,"['cant', 'believe', 'its', 'already', 'friday']"
P00016,U00054,Here is my latest blog post https://bafybeig5bh4eqnlw5j6dec5icalr4toipbqlpwbetqatlpat6nvjxmatwa.ipfs.nftstorage.link/ref.html,https://bafybeig5bh4eqnlw5j6dec5icalr4toipbqlpwbetqatlpat6nvjxmatwa.ipfs.nftstorage.link/ref.html,0,here is my latest blog post,"['here', 'is', 'my', 'latest', 'blog', 'post']"
P00036,U00034,Warning! Unauthorized access detected. Secure your account: https://www.delphipraxis.net,https://www.delphipraxis.net,1,warning unauthorized access detected secure your account,"['warning', 'unauthorized', 'access', 'detected', 'secure', 'your', 'account']"
P00099,U00002,Hot singles in your area want to meet you! https://www.tnengineering.net,https://www.tnengineering.net,1,hot singles in your area want to meet you,"['hot', 'singles', 'in', 'your', 'area', 'want', 'to', 'meet', 'you']"
